Fecha_Captura,Hora_Captura,ID_Canal,Nombre_Canal,Caudal_Flow,Fecha_Reportada,Hora_Reportada
2026-08-18,16:02:12,20,CANAL EYZAGUIRRE,4488.33,18/08/2026,06:00
2026-08-18,16:02:12,41,CANAL FLORIDA,14200.0,18/08/2026,06:00
2026-08-18,16:02:12,35,CANAL LAS PERDICES,2000.0,18/08/2026,06:00
2026-08-18,16:02:12,37,BT CANAL EL CARMEN,0.0,18/08/2026,06:00
2026-08-18,16:02:12,38,BT CANAL LA PUNTA,0.0,18/08/2026,06:00
2026-08-18,16:02:12,39,CANAL LA PÓLVORA,0.0,18/08/2026,06:00
2026-08-18,19:17:57,1,RÍO MAIPO,52200.0,18/08/2026,14:00
2026-08-18,19:17:57,3,REGADOR SCM,10.87,18/08/2026,14:00
2026-08-18,19:17:57,50,BT CANAL SAN CARLOS REGANTES,0.0,18/08/2026,15:00
2026-08-18,19:17:57,20,CANAL EYZAGUIRRE,4381.7,18/08/2026,14:00
2026-08-18,19:17:57,41,CANAL FLORIDA,13100.0,18/08/2026,14:00
2026-08-18,19:17:57,35,CANAL LAS PERDICES,2000.0,18/08/2026,14:00
2026-08-18,19:17:57,37,BT CANAL EL CARMEN,0.0,18/08/2026,14:00
2026-08-18,19:17:57,38,BT CANAL LA PUNTA,800.0,18/08/2026,14:00
2026-08-18,19:17:57,39,CANAL LA PÓLVORA,0.0,18/08/2026,14:00
2026-08-18,20:53:34,1,RÍO MAIPO,51500.0,18/08/2026,16:00
2026-08-18,20:53:34,3,REGADOR SCM,10.73,18/08/2026,16:00
2026-08-18,20:53:34,50,BT CANAL SAN CARLOS REGANTES,23387.81,18/08/2026,16:00
2026-08-18,20:53:34,20,CANAL EYZAGUIRRE,4324.28,18/08/2026,16:00
2026-08-18,20:53:34,41,CANAL FLORIDA,12700.0,18/08/2026,16:00
2026-08-18,20:53:34,35,CANAL LAS PERDICES,2000.0,18/08/2026,16:00
2026-08-18,20:53:34,37,BT CANAL EL CARMEN,0.0,18/08/2026,16:00
2026-08-18,20:53:34,38,BT CANAL LA PUNTA,800.0,18/08/2026,16:00
2026-08-18,20:53:34,39,CANAL LA PÓLVORA,0.0,18/08/2026,16:00
2026-08-18,22:55:15,1,RÍO MAIPO,51500.0,18/08/2026,18:00
2026-08-18,22:55:15,3,REGADOR SCM,10.73,18/08/2026,18:00
2026-08-18,22:55:15,50,BT CANAL SAN CARLOS REGANTES,23487.81,18/08/2026,18:00
2026-08-18,22:55:15,20,CANAL EYZAGUIRRE,4324.28,18/08/2026,18:00
2026-08-18,22:55:15,41,CANAL FLORIDA,12700.0,18/08/2026,18:00
2026-08-18,22:55:15,35,CANAL LAS PERDICES,2000.0,18/08/2026,18:00
2026-08-18,22:55:15,37,BT CANAL EL CARMEN,0.0,18/08/2026,18:00
2026-08-18,22:55:15,38,BT CANAL LA PUNTA,800.0,18/08/2026,18:00
2026-08-18,22:55:15,39,CANAL LA PÓLVORA,0.0,18/08/2026,18:00
2026-08-19,03:14:07,50,BT CANAL SAN CARLOS REGANTES,0.0,18/08/2026,23:00
2026-08-19,05:16:32,1,RÍO MAIPO,52700.0,18/08/2026,22:00
2026-08-19,05:16:32,3,REGADOR SCM,10.98,18/08/2026,22:00
2026-08-19,05:16:32,50,BT CANAL SAN CARLOS REGANTES,0.0,19/08/2026,01:00
2026-08-19,05:16:32,20,CANAL EYZAGUIRRE,4422.71,18/08/2026,22:00
2026-08-19,05:16:32,41,CANAL FLORIDA,12900.0,18/08/2026,22:00
2026-08-19,05:16:32,35,CANAL LAS PERDICES,2000.0,18/08/2026,22:00
2026-08-19,05:16:32,37,BT CANAL EL CARMEN,0.0,18/08/2026,22:00
2026-08-19,05:16:32,38,BT CANAL LA PUNTA,800.0,18/08/2026,22:00
2026-08-19,05:16:32,39,CANAL LA PÓLVORA,0.0,18/08/2026,22:00
2026-08-19,07:58:20,1,RÍO MAIPO,53200.0,19/08/2026,02:00
2026-08-19,07:58:20,3,REGADOR SCM,11.08,19/08/2026,02:00
2026-08-19,07:58:20,50,BT CANAL SAN CARLOS REGANTES,0.0,19/08/2026,03:00
2026-08-19,07:58:20,20,CANAL EYZAGUIRRE,4463.73,19/08/2026,02:00
2026-08-19,07:58:20,41,CANAL FLORIDA,13700.0,19/08/2026,02:00
2026-08-19,07:58:20,35,CANAL LAS PERDICES,2000.0,19/08/2026,02:00
2026-08-19,07:58:20,37,BT CANAL EL CARMEN,0.0,19/08/2026,02:00
2026-08-19,07:58:20,38,BT CANAL LA PUNTA,800.0,19/08/2026,02:00
2026-08-19,07:58:20,39,CANAL LA PÓLVORA,0.0,19/08/2026,02:00
2026-08-19,09:27:56,1,RÍO MAIPO,53500.0,19/08/2026,04:00
2026-08-19,09:27:56,3,REGADOR SCM,11.14,19/08/2026,04:00
2026-08-19,09:27:56,50,BT CANAL SAN CARLOS REGANTES,0.0,19/08/2026,05:00
2026-08-19,09:27:56,20,CANAL EYZAGUIRRE,4488.33,19/08/2026,04:00
2026-08-19,09:27:56,41,CANAL FLORIDA,13500.0,19/08/2026,04:00
2026-08-19,09:27:56,35,CANAL LAS PERDICES,2000.0,19/08/2026,04:00
2026-08-19,09:27:56,37,BT CANAL EL CARMEN,0.0,19/08/2026,04:00
2026-08-19,09:27:56,38,BT CANAL LA PUNTA,800.0,19/08/2026,04:00
2026-08-19,09:27:56,39,CANAL LA PÓLVORA,0.0,19/08/2026,04:00
2026-08-19,10:58:48,50,BT CANAL SAN CARLOS REGANTES,24570.96,19/08/2026,06:00
2026-08-19,14:05:52,50,BT CANAL SAN CARLOS REGANTES,0.0,19/08/2026,10:00
2026-08-19,17:00:28,1,RÍO MAIPO,51300.0,19/08/2026,06:00
2026-08-19,17:00:28,3,REGADOR SCM,10.69,19/08/2026,06:00
2026-08-19,17:00:28,50,BT CANAL SAN CARLOS REGANTES,0.0,19/08/2026,13:00
2026-08-19,17:00:28,20,CANAL EYZAGUIRRE,4307.88,19/08/2026,06:00
2026-08-19,17:00:28,41,CANAL FLORIDA,14400.0,19/08/2026,06:00
2026-08-19,17:00:28,35,CANAL LAS PERDICES,2000.0,19/08/2026,06:00
2026-08-19,17:00:28,37,BT CANAL EL CARMEN,0.0,19/08/2026,06:00
2026-08-19,17:00:28,38,BT CANAL LA PUNTA,800.0,19/08/2026,06:00
2026-08-19,17:00:28,39,CANAL LA PÓLVORA,0.0,19/08/2026,06:00
2026-08-19,19:12:16,1,RÍO MAIPO,45800.0,19/08/2026,14:00
2026-08-19,19:12:16,3,REGADOR SCM,9.54,19/08/2026,14:00
2026-08-19,19:12:16,50,BT CANAL SAN CARLOS REGANTES,0.0,19/08/2026,15:00
2026-08-19,19:12:16,20,CANAL EYZAGUIRRE,3856.74,19/08/2026,14:00
2026-08-19,19:12:16,41,CANAL FLORIDA,9200.0,19/08/2026,14:00
2026-08-19,19:12:16,35,CANAL LAS PERDICES,2000.0,19/08/2026,14:00
2026-08-19,19:12:16,37,BT CANAL EL CARMEN,0.0,19/08/2026,14:00
2026-08-19,19:12:16,38,BT CANAL LA PUNTA,800.0,19/08/2026,14:00
2026-08-19,19:12:16,39,CANAL LA PÓLVORA,0.0,19/08/2026,14:00
2026-08-19,20:58:23,1,RÍO MAIPO,47900.0,19/08/2026,16:00
2026-08-19,20:58:23,3,REGADOR SCM,9.98,19/08/2026,16:00
2026-08-19,20:58:23,50,BT CANAL SAN CARLOS REGANTES,24984.58,19/08/2026,16:00
2026-08-19,20:58:23,20,CANAL EYZAGUIRRE,4028.99,19/08/2026,16:00
2026-08-19,20:58:23,41,CANAL FLORIDA,13600.0,19/08/2026,16:00
2026-08-19,20:58:23,35,CANAL LAS PERDICES,2000.0,19/08/2026,16:00
2026-08-19,20:58:23,37,BT CANAL EL CARMEN,0.0,19/08/2026,16:00
2026-08-19,20:58:23,38,BT CANAL LA PUNTA,800.0,19/08/2026,16:00
2026-08-19,20:58:23,39,CANAL LA PÓLVORA,0.0,19/08/2026,16:00
2026-08-19,22:54:32,1,RÍO MAIPO,51500.0,19/08/2026,18:00
2026-08-19,22:54:32,3,REGADOR SCM,10.73,19/08/2026,18:00
2026-08-19,22:54:32,50,BT CANAL SAN CARLOS REGANTES,27487.81,19/08/2026,18:00
2026-08-19,22:54:32,20,CANAL EYZAGUIRRE,4324.28,19/08/2026,18:00
2026-08-19,22:54:32,41,CANAL FLORIDA,12600.0,19/08/2026,18:00
2026-08-19,22:54:32,35,CANAL LAS PERDICES,2000.0,19/08/2026,18:00
2026-08-19,22:54:32,37,BT CANAL EL CARMEN,0.0,19/08/2026,18:00
2026-08-19,22:54:32,38,BT CANAL LA PUNTA,800.0,19/08/2026,18:00
2026-08-19,22:54:32,39,CANAL LA PÓLVORA,0.0,19/08/2026,18:00
2026-08-20,03:12:48,50,BT CANAL SAN CARLOS REGANTES,0.0,19/08/2026,23:00
2026-08-20,05:18:15,1,RÍO MAIPO,52200.0,19/08/2026,22:00
2026-08-20,05:18:15,3,REGADOR SCM,10.87,19/08/2026,22:00
2026-08-20,05:18:15,50,BT CANAL SAN CARLOS REGANTES,0.0,20/08/2026,01:00
2026-08-20,05:18:15,20,CANAL EYZAGUIRRE,4381.7,19/08/2026,22:00
2026-08-20,05:18:15,41,CANAL FLORIDA,16500.0,19/08/2026,22:00
2026-08-20,05:18:15,35,CANAL LAS PERDICES,2000.0,19/08/2026,22:00
2026-08-20,05:18:15,37,BT CANAL EL CARMEN,0.0,19/08/2026,22:00
2026-08-20,05:18:15,38,BT CANAL LA PUNTA,800.0,19/08/2026,22:00
2026-08-20,05:18:15,39,CANAL LA PÓLVORA,0.0,19/08/2026,22:00
2026-08-20,08:03:19,1,RÍO MAIPO,51000.0,20/08/2026,02:00
2026-08-20,08:03:19,3,REGADOR SCM,10.62,20/08/2026,02:00
